MIDI Sequence
Format: One
Tracks: 6
Division: 48

OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#7	0x60
OnNoteVoiceMidiEvent	24	0x0	C#7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#7	0x60
OnNoteVoiceMidiEvent	24	0x0	C#7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#7	0x60
OnNoteVoiceMidiEvent	24	0x0	C#7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#7	0x60
OnNoteVoiceMidiEvent	24	0x0	C#7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#7	0x60
OnNoteVoiceMidiEvent	24	0x0	C#7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	C#7	0x60
OnNoteVoiceMidiEvent	24	0x0	C#7	0x00
OnNoteVoiceMidiEvent	0	0x0	B6	0x60
OnNoteVoiceMidiEvent	24	0x0	B6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	G6	0x60
OnNoteVoiceMidiEvent	24	0x0	G6	0x00
OnNoteVoiceMidiEvent	0	0x0	F#6	0x60
OnNoteVoiceMidiEvent	24	0x0	F#6	0x00
OnNoteVoiceMidiEvent	0	0x0	E6	0x60
OnNoteVoiceMidiEvent	24	0x0	E6	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#6	0x60
OnNoteVoiceMidiEvent	24	0x0	C#6	0x00
OnNoteVoiceMidiEvent	0	0x0	B5	0x60
OnNoteVoiceMidiEvent	24	0x0	B5	0x00
OnNoteVoiceMidiEvent	0	0x0	A5	0x60
OnNoteVoiceMidiEvent	24	0x0	A5	0x00
OnNoteVoiceMidiEvent	0	0x0	G5	0x60
OnNoteVoiceMidiEvent	24	0x0	G5	0x00
OnNoteVoiceMidiEvent	0	0x0	F#5	0x60
OnNoteVoiceMidiEvent	24	0x0	F#5	0x00
OnNoteVoiceMidiEvent	0	0x0	E5	0x60
OnNoteVoiceMidiEvent	24	0x0	E5	0x00
OnNoteVoiceMidiEvent	0	0x0	D5	0x60
OnNoteVoiceMidiEvent	24	0x0	D5	0x00
OnNoteVoiceMidiEvent	0	0x0	C#5	0x60
OnNoteVoiceMidiEvent	24	0x0	C#5	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#6	0x60
OnNoteVoiceMidiEvent	24	0x0	C#6	0x00
OnNoteVoiceMidiEvent	0	0x0	B5	0x60
OnNoteVoiceMidiEvent	24	0x0	B5	0x00
OnNoteVoiceMidiEvent	0	0x0	A5	0x60
OnNoteVoiceMidiEvent	24	0x0	A5	0x00
OnNoteVoiceMidiEvent	0	0x0	G5	0x60
OnNoteVoiceMidiEvent	24	0x0	G5	0x00
OnNoteVoiceMidiEvent	0	0x0	F#5	0x60
OnNoteVoiceMidiEvent	24	0x0	F#5	0x00
OnNoteVoiceMidiEvent	0	0x0	E5	0x60
OnNoteVoiceMidiEvent	24	0x0	E5	0x00
OnNoteVoiceMidiEvent	0	0x0	D5	0x60
OnNoteVoiceMidiEvent	24	0x0	D5	0x00
OnNoteVoiceMidiEvent	0	0x0	G6	0x60
OnNoteVoiceMidiEvent	24	0x0	G6	0x00
OnNoteVoiceMidiEvent	0	0x0	F#6	0x60
OnNoteVoiceMidiEvent	24	0x0	F#6	0x00
OnNoteVoiceMidiEvent	0	0x0	E6	0x60
OnNoteVoiceMidiEvent	24	0x0	E6	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#6	0x60
OnNoteVoiceMidiEvent	24	0x0	C#6	0x00
OnNoteVoiceMidiEvent	0	0x0	B5	0x60
OnNoteVoiceMidiEvent	24	0x0	B5	0x00
OnNoteVoiceMidiEvent	0	0x0	A5	0x60
OnNoteVoiceMidiEvent	24	0x0	A5	0x00
OnNoteVoiceMidiEvent	0	0x0	G5	0x60
OnNoteVoiceMidiEvent	24	0x0	G5	0x00
OnNoteVoiceMidiEvent	0	0x0	F#5	0x60
OnNoteVoiceMidiEvent	48	0x0	F#5	0x00
OnNoteVoiceMidiEvent	48	0x0	D7	0x60
OnNoteVoiceMidiEvent	48	0x0	D7	0x00
OnNoteVoiceMidiEvent	48	0x0	B6	0x60
OnNoteVoiceMidiEvent	48	0x0	B6	0x00
OnNoteVoiceMidiEvent	48	0x0	A6	0x60
OnNoteVoiceMidiEvent	48	0x0	A6	0x00
OnNoteVoiceMidiEvent	48	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#7	0x60
OnNoteVoiceMidiEvent	24	0x0	C#7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#7	0x60
OnNoteVoiceMidiEvent	24	0x0	C#7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#7	0x60
OnNoteVoiceMidiEvent	24	0x0	C#7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#7	0x60
OnNoteVoiceMidiEvent	24	0x0	C#7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	C#7	0x60
OnNoteVoiceMidiEvent	24	0x0	C#7	0x00
OnNoteVoiceMidiEvent	0	0x0	B6	0x60
OnNoteVoiceMidiEvent	24	0x0	B6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	G6	0x60
OnNoteVoiceMidiEvent	24	0x0	G6	0x00
OnNoteVoiceMidiEvent	0	0x0	F#6	0x60
OnNoteVoiceMidiEvent	24	0x0	F#6	0x00
OnNoteVoiceMidiEvent	0	0x0	E6	0x60
OnNoteVoiceMidiEvent	24	0x0	E6	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#6	0x60
OnNoteVoiceMidiEvent	24	0x0	C#6	0x00
OnNoteVoiceMidiEvent	0	0x0	B5	0x60
OnNoteVoiceMidiEvent	24	0x0	B5	0x00
OnNoteVoiceMidiEvent	0	0x0	A5	0x60
OnNoteVoiceMidiEvent	24	0x0	A5	0x00
OnNoteVoiceMidiEvent	0	0x0	G5	0x60
OnNoteVoiceMidiEvent	24	0x0	G5	0x00
OnNoteVoiceMidiEvent	0	0x0	F#5	0x60
OnNoteVoiceMidiEvent	24	0x0	F#5	0x00
OnNoteVoiceMidiEvent	0	0x0	E5	0x60
OnNoteVoiceMidiEvent	24	0x0	E5	0x00
OnNoteVoiceMidiEvent	0	0x0	D5	0x60
OnNoteVoiceMidiEvent	24	0x0	D5	0x00
OnNoteVoiceMidiEvent	0	0x0	C#5	0x60
OnNoteVoiceMidiEvent	24	0x0	C#5	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#6	0x60
OnNoteVoiceMidiEvent	24	0x0	C#6	0x00
OnNoteVoiceMidiEvent	0	0x0	B5	0x60
OnNoteVoiceMidiEvent	24	0x0	B5	0x00
OnNoteVoiceMidiEvent	0	0x0	A5	0x60
OnNoteVoiceMidiEvent	24	0x0	A5	0x00
OnNoteVoiceMidiEvent	0	0x0	G5	0x60
OnNoteVoiceMidiEvent	24	0x0	G5	0x00
OnNoteVoiceMidiEvent	0	0x0	F#5	0x60
OnNoteVoiceMidiEvent	24	0x0	F#5	0x00
OnNoteVoiceMidiEvent	0	0x0	E5	0x60
OnNoteVoiceMidiEvent	24	0x0	E5	0x00
OnNoteVoiceMidiEvent	0	0x0	D5	0x60
OnNoteVoiceMidiEvent	24	0x0	D5	0x00
OnNoteVoiceMidiEvent	0	0x0	G6	0x60
OnNoteVoiceMidiEvent	24	0x0	G6	0x00
OnNoteVoiceMidiEvent	0	0x0	F#6	0x60
OnNoteVoiceMidiEvent	24	0x0	F#6	0x00
OnNoteVoiceMidiEvent	0	0x0	E6	0x60
OnNoteVoiceMidiEvent	24	0x0	E6	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#6	0x60
OnNoteVoiceMidiEvent	24	0x0	C#6	0x00
OnNoteVoiceMidiEvent	0	0x0	B5	0x60
OnNoteVoiceMidiEvent	24	0x0	B5	0x00
OnNoteVoiceMidiEvent	0	0x0	A5	0x60
OnNoteVoiceMidiEvent	24	0x0	A5	0x00
OnNoteVoiceMidiEvent	0	0x0	G5	0x60
OnNoteVoiceMidiEvent	24	0x0	G5	0x00
OnNoteVoiceMidiEvent	0	0x0	F#5	0x60
OnNoteVoiceMidiEvent	48	0x0	F#5	0x00
OnNoteVoiceMidiEvent	48	0x0	D7	0x60
OnNoteVoiceMidiEvent	48	0x0	D7	0x00
OnNoteVoiceMidiEvent	48	0x0	B6	0x60
OnNoteVoiceMidiEvent	48	0x0	B6	0x00
OnNoteVoiceMidiEvent	48	0x0	A6	0x60
OnNoteVoiceMidiEvent	48	0x0	A6	0x00
OnNoteVoiceMidiEvent	48	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#6	0x60
OnNoteVoiceMidiEvent	24	0x0	C#6	0x00
OnNoteVoiceMidiEvent	0	0x0	B5	0x60
OnNoteVoiceMidiEvent	24	0x0	B5	0x00
OnNoteVoiceMidiEvent	0	0x0	A5	0x60
OnNoteVoiceMidiEvent	24	0x0	A5	0x00
OnNoteVoiceMidiEvent	0	0x0	G5	0x60
OnNoteVoiceMidiEvent	24	0x0	G5	0x00
OnNoteVoiceMidiEvent	0	0x0	F#5	0x60
OnNoteVoiceMidiEvent	24	0x0	F#5	0x00
OnNoteVoiceMidiEvent	0	0x0	E5	0x60
OnNoteVoiceMidiEvent	24	0x0	E5	0x00
OnNoteVoiceMidiEvent	0	0x0	D5	0x60
OnNoteVoiceMidiEvent	24	0x0	D5	0x00
OnNoteVoiceMidiEvent	0	0x0	G6	0x60
OnNoteVoiceMidiEvent	24	0x0	G6	0x00
OnNoteVoiceMidiEvent	0	0x0	F#6	0x60
OnNoteVoiceMidiEvent	24	0x0	F#6	0x00
OnNoteVoiceMidiEvent	0	0x0	E6	0x60
OnNoteVoiceMidiEvent	24	0x0	E6	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#6	0x60
OnNoteVoiceMidiEvent	24	0x0	C#6	0x00
OnNoteVoiceMidiEvent	0	0x0	B5	0x60
OnNoteVoiceMidiEvent	24	0x0	B5	0x00
OnNoteVoiceMidiEvent	0	0x0	A5	0x60
OnNoteVoiceMidiEvent	24	0x0	A5	0x00
OnNoteVoiceMidiEvent	0	0x0	G5	0x60
OnNoteVoiceMidiEvent	24	0x0	G5	0x00
OnNoteVoiceMidiEvent	0	0x0	F#5	0x60
OnNoteVoiceMidiEvent	48	0x0	F#5	0x00
OnNoteVoiceMidiEvent	48	0x0	D7	0x60
OnNoteVoiceMidiEvent	48	0x0	D7	0x00
OnNoteVoiceMidiEvent	48	0x0	B6	0x60
OnNoteVoiceMidiEvent	48	0x0	B6	0x00
OnNoteVoiceMidiEvent	48	0x0	A6	0x60
OnNoteVoiceMidiEvent	48	0x0	A6	0x00
OnNoteVoiceMidiEvent	48	0x0	F#6	0x60
OnNoteVoiceMidiEvent	96	0x0	F#6	0x00
OnNoteVoiceMidiEvent	48	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	144	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	144	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	F#6	0x60
OnNoteVoiceMidiEvent	24	0x0	F#6	0x00
OnNoteVoiceMidiEvent	0	0x0	F#6	0x60
OnNoteVoiceMidiEvent	24	0x0	F#6	0x00
OnNoteVoiceMidiEvent	0	0x0	F#6	0x60
OnNoteVoiceMidiEvent	144	0x0	F#6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	144	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A5	0x60
OnNoteVoiceMidiEvent	24	0x0	A5	0x00
OnNoteVoiceMidiEvent	0	0x0	A5	0x60
OnNoteVoiceMidiEvent	24	0x0	A5	0x00
OnNoteVoiceMidiEvent	0	0x0	A5	0x60
OnNoteVoiceMidiEvent	144	0x0	A5	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	24	0x0	D6	0x00
OnNoteVoiceMidiEvent	0	0x0	D6	0x60
OnNoteVoiceMidiEvent	48	0x0	D6	0x00
OnNoteVoiceMidiEvent	48	0x0	D7	0x60
OnNoteVoiceMidiEvent	48	0x0	D7	0x00
OnNoteVoiceMidiEvent	48	0x0	D7	0x60
OnNoteVoiceMidiEvent	48	0x0	D7	0x00
OnNoteVoiceMidiEvent	48	0x0	D7	0x60
OnNoteVoiceMidiEvent	48	0x0	D7	0x00
OnNoteVoiceMidiEvent	48	0x0	D7	0x60
OnNoteVoiceMidiEvent	48	0x0	D7	0x00
OnNoteVoiceMidiEvent	144	0x0	D7	0x60
OnNoteVoiceMidiEvent	48	0x0	D7	0x00
OnNoteVoiceMidiEvent	144	0x0	D7	0x60
OnNoteVoiceMidiEvent	96	0x0	D7	0x00
EndOfTrackMetaMidiEvent	96	0x2F

KeySignatureMetaMidiEvent	0	0x59	Sharp2	Major
OnNoteVoiceMidiEvent	0	0x0	D4	0x60
OnNoteVoiceMidiEvent	24	0x0	D4	0x00
OnNoteVoiceMidiEvent	0	0x0	C#4	0x60
OnNoteVoiceMidiEvent	24	0x0	C#4	0x00
OnNoteVoiceMidiEvent	0	0x0	D4	0x60
OnNoteVoiceMidiEvent	24	0x0	D4	0x00
OnNoteVoiceMidiEvent	0	0x0	C#4	0x60
OnNoteVoiceMidiEvent	24	0x0	C#4	0x00
OnNoteVoiceMidiEvent	0	0x0	D4	0x60
OnNoteVoiceMidiEvent	48	0x0	D4	0x00
OnNoteVoiceMidiEvent	48	0x0	D4	0x60
OnNoteVoiceMidiEvent	24	0x0	D4	0x00
OnNoteVoiceMidiEvent	0	0x0	C#4	0x60
OnNoteVoiceMidiEvent	24	0x0	C#4	0x00
OnNoteVoiceMidiEvent	0	0x0	D4	0x60
OnNoteVoiceMidiEvent	24	0x0	D4	0x00
